id,project_id,area_id
3288,148,55
3289,148,56
3290,148,57
3291,148,58
3292,148,59
3293,148,60
3294,148,61
16801,473,12
16802,473,16
54514,610,52
54515,610,30
18521,405,43
18522,405,22
54516,610,22
54517,610,24
18523,405,31
16076,137,1
16077,137,5
16078,137,38
16079,137,7
16080,137,9
16081,137,42
16082,137,23
16083,137,44
16084,137,45
16085,137,17
16086,137,82
16087,137,83
12523,64,1
12524,64,36
12525,64,38
12526,64,41
12527,64,42
12528,64,44
12529,64,23
16088,137,41
16089,137,26
2909,156,7
2910,156,44
2911,156,45
2912,156,30
1471,134,28
1472,134,36
1473,134,34
54518,610,31
54519,610,28
54520,610,29
54521,610,62
67923,712,8
54522,610,63
51835,524,43
51836,524,22
51837,524,31
1488,129,30
1489,129,28
79470,404,43
79471,404,22
79472,404,31
16271,469,19
16272,469,43
16273,469,6
16274,469,11
16275,469,29
16276,469,50
16277,469,3
16278,469,21
16279,469,24
16280,469,25
13427,495,32
13428,495,44
13429,495,46
16281,469,61
3145,103,82
3146,103,83
3147,103,84
3148,103,85
3149,103,86
16803,473,18
16804,473,20
16805,473,21
15819,126,82
15820,126,83
2971,138,32
67924,712,9
67925,712,11
73484,433,32
2972,138,33
2973,138,34
2974,138,35
2975,138,36
2976,138,1
16806,473,22
16807,473,24
16808,473,25
73485,433,33
73486,433,34
16406,442,33
16407,442,49
16408,442,15
16492,520,82
16493,520,83
73487,433,36
16494,520,84
16495,520,85
3251,8,32
3252,8,33
3295,35,82
3296,35,83
3297,35,84
3298,35,85
3299,35,86
2977,138,9
2978,138,42
2979,138,7
1566,115,31
6741,539,66
1568,113,34
6742,539,43
6743,539,29
40979,513,3
40980,513,6
40981,513,43
40982,513,29
3409,84,26
3410,84,35
3411,84,44
3412,84,53
3413,84,45
54869,794,48
53275,626,1
51740,273,30
53276,626,5
3593,88,33
3594,88,34
3595,88,42
3596,88,45
3597,88,15
3598,88,87
3623,54,28
3624,54,35
3625,54,36
3626,54,33
3637,60,28
58726,400,43
58727,400,22
58728,400,31
73488,433,41
73489,433,44
73490,433,45
84375,881,66
3645,19,30
10994,437,23
10995,437,42
10996,437,59
10997,437,34
10998,437,77
1623,108,17
1624,108,32
1625,108,44
1626,108,36
1627,108,43
1628,108,1
1629,108,62
1630,108,7
1631,108,87
1632,107,31
40983,513,50
40984,513,61
53277,626,7
53278,626,9
2655,6,29
2656,6,30
2657,6,31
53279,626,15
4319,124,82
4320,124,83
4321,124,84
4322,124,85
84376,881,29
84377,881,61
1646,102,33
1647,102,15
1648,102,45
1649,102,42
1650,102,34
4323,124,86
1655,100,28
1656,100,29
1657,100,35
1658,100,36
11156,479,1
11157,479,15
11158,479,17
1663,98,27
1664,98,18
1665,98,30
1666,98,28
1667,98,43
1668,98,41
1669,98,1
1670,98,5
1671,98,8
51741,273,54
53280,626,17
53281,626,18
67926,712,14
1677,96,35
11159,479,23
11160,479,26
11161,479,32
11162,479,33
11163,479,34
11164,479,35
11165,479,36
11166,479,38
11167,479,42
11168,479,44
11169,479,45
53282,626,23
53283,626,26
53284,626,32
2688,133,74
2689,133,43
2690,133,52
2691,133,31
2708,162,28
53285,626,33
67927,712,19
79473,719,31
56576,582,82
15747,465,33
15748,465,34
15749,465,42
15750,465,45
15751,465,80
15752,465,23
15753,465,59
15821,126,84
15822,126,85
15823,126,86
5256,388,43
5257,388,22
3839,17,36
5258,388,31
12605,588,50
12606,588,43
12607,588,21
12608,588,66
12609,588,29
53286,626,34
53287,626,35
16809,473,27
16810,473,28
16811,473,29
16812,473,30
16813,473,31
16814,473,41
16815,473,43
16369,135,82
16370,135,83
16371,135,84
16372,135,85
16816,473,50
19973,500,32
19974,500,44
2658,104,31
16817,473,52
16818,473,58
16819,473,61
16820,473,62
16821,473,63
3212,53,36
3577,97,1
3578,97,27
3579,97,43
3580,97,30
3581,97,41
19975,500,46
19976,500,7
20008,628,16
3627,69,36
20009,628,18
20010,628,43
20011,628,28
20012,628,62
3253,39,32
3254,39,33
3255,39,34
3256,39,35
3257,39,36
40953,319,33
40954,319,47
40955,319,45
40956,319,23
4642,398,43
4643,398,22
4644,398,31
3638,52,31
3646,18,41
3647,18,30
3648,18,23
1777,70,26
1778,70,45
1779,70,35
1780,70,53
1781,70,44
1785,67,31
11170,479,46
11171,479,48
3258,39,38
3259,39,1
3260,39,9
3261,39,42
3262,39,7
3263,39,44
3264,39,45
16373,135,86
3265,39,15
3266,39,23
3267,39,26
3268,39,30
11172,479,49
11173,479,53
11174,479,55
11175,479,57
11176,479,59
11177,479,60
11178,479,87
54870,794,33
54871,794,23
58630,399,43
58631,399,20
26771,636,36
25292,577,64
25293,577,65
25294,577,66
25295,577,67
25296,577,68
25297,577,69
25298,577,70
25299,577,71
25300,577,72
25301,577,73
25302,577,74
25303,577,76
25304,577,78
25305,577,41
1856,50,30
1857,50,36
1858,50,60
1859,50,61
1860,50,35
1861,50,34
1862,50,48
1863,50,49
1864,50,46
1865,50,47
1866,50,28
1867,50,29
1868,50,59
1869,50,58
1870,50,55
1871,50,32
1872,50,31
1873,50,56
1874,50,51
1875,50,50
1876,50,53
1877,50,52
1878,50,33
1879,50,54
1880,50,57
1881,49,52
25306,577,29
25307,577,30
25308,577,31
3436,63,57
3437,63,34
3438,63,42
3439,63,15
3452,40,33
3453,40,35
3454,40,42
3455,40,45
3456,40,15
3457,40,26
5879,333,43
5880,333,22
5881,333,31
5577,521,43
5578,521,22
5579,521,31
1882,49,56
1883,49,30
1884,48,30
1885,48,36
1886,48,60
1887,48,61
1888,48,35
1889,48,34
