id,creator_id,modifier_id,created,modified,name,slug,published,program_leader_id,cost_center,finance_admin_id,data_custodian_id,focus,introduction,image,division_id
9,1,100934,2014-06-05 20:28:10.451000+10:00,2023-06-14 13:49:06.712550+10:00,Marine Science,marine,True,156,531.0,100446.0,156.0,Marine biodiversity assessment; marine ecosystem research; marine monitoring and evaluation; threatened marine fauna,"The broad goal of the Marine Science Program is to ensure the department's marine biodiversity conservation and management programs are based on best practice science. Specifically, the program promotes and undertakes marine research and monitoring to improve the scientific basis for the conservation and management of Western Australia's State-wide system of marine protected areas, threatened marine fauna and marine biodiversity generally. The program also coordinates and manages external marine research programs, such as the current investigation into the bio-physical, social and cultural values of the Kimberley that is undertaken as part of the Western Australian Marine Science Institution (WAMSI). The research and monitoring programs undertaken by the Marine Science Program are based around the research and monitoring strategies identified in protected area management plans and threatened species recovery and management plans, ensuring that all activities are linked to departmental priorities and programs.",programs/marine/IMG_3795_resize.jpg,1
20,4,1,2018-05-28 14:48:37.084547+10:00,2022-05-20 14:00:58.057380+10:00,Rivers and Estuaries Science,red,True,100458,529.0,100446.0,100458.0,rivers; estuaries; Swan Canning; informing management,"The Rivers and Estuaries Science Program undertakes and supports research across a wide range of disciplines to address knowledge gaps and inform management of the Swan Canning Riverpark. Research is aligned with the Swan Canning Research Strategy and WAMSI estuarine research priorities. Strong collaborative linkages exist with universities, research centres and other government departments. Scientific advice and support is provided to the Rivers and Estuaries Branch in relation to waterway condition, management, and incident response including algal blooms, fish-kills, sewage overflows and dolphin deaths.",programs/red/estuary_2.jpg,1
2,1,1,2014-06-05 20:28:10.326000+10:00,2022-05-20 14:00:59.664614+10:00,Biodiversity and Climate Change Unit,climate,False,8,529.0,19.0,8.0,,"Climate is a fundamental influence on where plants and animals flourish, what communities and ecosystems develop in a location and what habitat is available there. Climate affects plants and animals directly by determining the temperature regimes and water availability in an area. Climate indirectly affects plants and animals by impacting on many of the most significant forces they experience, including fire, diseases, invasive species and salinity. Climate change has the potential to significantly impact on Western Australia's natural biological diversity. Climate research through the Indian Ocean Climate Initiative program has demonstrated that climate conditions in south-west Western Australia have changed significantly during the past 40 years; in particular, the climate is becoming warmer and drier. Climate projections indicate that Western Australia faces ongoing climate changes. Managing the potential impacts of climate change on Western Australia's biodiversity requires sound knowledge of the vulnerability of species and communities to direct and indirect impacts. The Biodiversity and Climate Change Unit focuses on research to develop an understanding of these impacts, especially the impacts on the potentially 'at risk' species, communities and ecosystems of Western Australia. This understanding provides the basis on which management responses to climate change are formulated and undertaken. The Biodiversity and Climate Change Unit includes research scientists from all Science Division programs. It includes strengths in ecology, modelling, surveys, phytogeography, genetics, and fire science.",,1
24,1,1,2022-08-11 14:03:31.160637+10:00,2022-08-11 14:03:31.180770+10:00,Rivers and Estuaries Branch,REB,True,100886,,,,,,,4
38,1,1,2022-08-11 14:47:36.132923+10:00,2022-08-11 14:47:36.157540+10:00,Life Sciences,LS,True,100886,,,,,,,3
52,1,1,2022-08-11 14:55:49.641476+10:00,2022-08-11 14:55:49.875746+10:00,Tourism and Concessions Branch,TCB,True,100886,,,,,,,5
13,1,1,2014-06-06 12:24:30.131000+10:00,2022-05-20 14:00:59.879495+10:00,Wetlands Conservation,wetlands-conservation,False,22,530.0,19.0,22.0,"Wetland ecology wetland macroinvertebrate inventory, freshwater aquatic flora, hydrology, hydrological processes, distribution patterns in aquatic biodiversity, wetland monitoring","The Wetlands Conservation Program undertakes research in a range of disciplines to support the management of wetlands in the State’s conservation estate. Key areas of research are biological survey, ecological monitoring, wetland ecology and hydrology. Surveys of aquatic flora and fauna, at scales ranging from individual wetlands to regions, provide knowledge of patterns in the distribution of aquatic biodiversity required for conservation reserve design, assessment of species and communities conservation status and prioritisation of on-ground management. Targeted physical and biological monitoring programs, provide managers with information on effectiveness of management in protecting wetlands and rivers (e.g. management of the south-west forests) and effects of threatening processes, especially altered hydrology and water quality (such as that resulting from drainage, land-use changes, climate change and water resource development). Research into key hydrological processes are critical for designing effective management and mitigation strategies.",programs/wetlands-conservation/MDS_6823.jpg,1
17,4,100944,2018-05-23 09:50:29.720903+10:00,2022-10-04 19:05:10.935090+11:00,Kings Park Science,bgpa,True,100462,527.0,,100462.0,restoration ecology and ecophysiology; seed science; conservation genetics; conservation biotechnology; ecosystem ecology; fire ecology; systematics.,"Kings Park Science undertakes research in native plant biology, underpinning the conservation and ecological restoration of Western Australia's unique biodiversity and biodiversity generally. Research focuses on the key areas of restoration ecology and ecophysiology, seed science, conservation genetics, conservation biotechnology, ecosystem ecology, fire ecology and systematics. Research is prioritised to enhance practical outcomes in conservation and management, and sustainable development of the State’s unique natural resources. The Program delivers science capacity underpinning the State’s botanic garden and the lands managed by the Botanic Gardens and Parks Authority, and the horticultural development of the Western Australian flora. The Program has a long history of successful postgraduate student supervision in collaboration with Western Australian universities, and contributes to undergraduate teaching, predominantly in conservation biology and restoration ecology.",programs/bgpa/Pollinationstudy.jpg,1
21,4,1,2018-07-19 15:53:00.957328+10:00,2022-05-20 14:00:57.509935+10:00,Fire Science,fire,True,100457,525.0,100446.0,,fire; ecosystems; fire ecology; decision support tools; adaptive management,"The Fire Science Program seeks to inform fire management and biodiversity conservation on lands managed by the department, including state forests, national parks and other conservation reserves. The strategic goal of the program is to ensure that the best available scientific information is used for integrated fire management to protect communities and natural values. Key themes for the program include developing and validating decision support tools for fire management, and understanding the effects of fire regimes on species, ecosystems and landscapes and how these interact with threatening processes including weeds, introduced predators and climate change. Monitoring and learning from the outcomes of prescribed burns and bushfire incidents is also an important activity for the program. Strong collaborative linkages exist with universities, cooperative research centres, CSIRO, the Bureau of Meteorology, other government agencies and private sector research providers.",programs/fire/Edgingwesternboundarycropped.jpg,1
22,1,100934,2021-08-02 13:04:56.644441+10:00,2023-09-26 11:26:37.328831+10:00,Biodiversity Information Office,bio,True,100911,529.0,100446.0,100886.0,Biodiversity data; data sharing; data discovery; cross-sector collaboration; evidence-based decision-making.,"The Biodiversity Information Office (BIO) has been established as custodian and manager of the Biodiversity Data Repository for the biodiversity data collected and used by the Western Australian community. BIO will mobilise biodiversity data from all environment-related sectors, including government, industry, and community organisations, promoting a culture of collaboration and seamless data sharing across government, industry, research and the community. Greater access to biodiversity data will increase knowledge of our biodiversity and support informed decision making. BIO enhances the capability of the WA public sector to deliver services to a diverse range of stakeholders, leading to the delivery of sound policy outcomes and evidence-based decision-making. BIO is a core component of the WA digital transformation initiative, delivering data services for digital transformation of environmental assessment and approvals system (Environment Online) that is led by the Department of Water and Environmental Regulation (DWER). BIO will provide seamless integration with Environment Online to ensure access to the best available information to inform decision making. BIO is part of the partnership between WA and the Commonwealth Department of Climate Change, Energy, the Environment and Water (DCCEEW) to deliver the Digital Environmental Assessment Program as an integrated digital environmental assessment system and biodiversity data repository.",programs/bio/kokerbin.jpeg,1
25,1,1,2022-08-11 14:16:00.872903+10:00,2022-08-11 14:19:54.636559+10:00,Wildlife Protection Branch,WPB,True,100886,,,,,,,4
39,1,1,2022-08-11 14:47:51.850862+10:00,2022-08-11 14:47:51.873089+10:00,Community Engagement,CE,True,100886,,,,,,,3
53,1,1,2022-08-11 14:56:08.012898+10:00,2022-08-11 14:56:08.036057+10:00,Visitor Communications and Marketing Branch,VCMB,True,100886,,,,,,,5
10,1,1,2014-06-05 20:28:10.475000+10:00,2022-05-20 14:01:00.143638+10:00,Perth Observatory,observatory,False,38,533.0,20.0,38.0,,"Perth Observatory, established in 1896, is Australia's oldest continuously operating observatory. Perth Observatory is the only significant professional observatory between South Africa and the eastern states of Australia and is sought for collaborations with other astronomy institutions because of its capabilities and its particularly isolated location on the globe. The Observatory provides a public education and community engagement program through its night star viewing and day time tours. ",,1
26,1,1,2022-08-11 14:16:57.370081+10:00,2022-08-11 14:19:54.231961+10:00,Forest Management Branch,FMB,True,100886,,,,,,,4
40,1,1,2022-08-11 14:48:49.544627+10:00,2022-08-11 14:48:49.564316+10:00,Business and Finance,BF,True,100886,,,,,,,2
27,1,1,2022-08-11 14:18:49.585388+10:00,2022-08-11 14:19:49.540620+10:00,Ecosystem Health Branch,EHB,True,100886,,,,,,,4
41,1,1,2022-08-11 14:49:13.373310+10:00,2022-08-11 14:49:13.394010+10:00,Business and Community Engagement,BCE,True,100886,,,,,,,2
