id,user_id,group_id
210,197,1
211,198,1
212,199,1
213,200,1
214,201,1
215,202,1
216,203,1
1404,100642,1
218,205,1
219,206,1
220,207,1
221,208,1
222,209,1
223,210,1
224,211,1
225,212,1
226,213,1
227,214,1
228,215,1
229,216,1
230,217,1
231,218,1
232,219,1
233,220,1
234,221,1
235,222,1
236,223,1
237,224,1
238,225,1
239,226,1
240,227,1
241,228,1
242,229,1
243,230,1
244,231,1
245,232,1
246,233,1
247,234,1
248,235,1
249,236,1
2024,101004,1
251,239,1
252,240,1
253,241,1
254,242,1
2196,101071,1
256,244,1
2046,101014,1
258,247,1
259,248,1
260,249,1
261,250,1
2197,101072,1
263,252,1
264,253,1
265,254,1
266,255,1
267,256,1
269,258,1
270,259,1
272,261,1
273,262,1
274,263,1
275,264,1
276,265,1
277,266,1
278,267,1
279,268,1
280,269,1
281,270,1
282,271,1
283,272,1
284,273,1
285,274,1
286,275,1
287,276,1
288,277,1
289,278,1
290,279,1
757,78,1
292,281,1
293,282,1
294,283,1
295,284,1
296,285,1
297,286,1
298,287,1
299,288,1
300,289,1
302,291,1
303,292,1
304,293,1
305,294,1
306,295,1
307,296,1
308,297,1
309,298,1
311,300,1
312,301,1
313,302,1
314,303,1
315,304,1
316,305,1
317,306,1
318,307,1
319,308,1
320,309,1
321,310,1
2071,101024,1
323,312,1
2072,101025,1
325,100001,1
326,100002,1
327,100003,1
328,100004,1
329,100005,1
330,100006,1
331,100007,1
332,100008,1
333,100009,1
334,100010,1
335,100011,1
336,100012,1
337,100013,1
338,100014,1
339,100016,1
340,100017,1
341,100018,1
342,100019,1
343,100020,1
345,100022,1
346,100023,1
347,100024,1
348,100025,1
349,100026,1
350,100027,1
351,100028,1
352,100029,1
353,100030,1
354,100031,1
355,100032,1
356,100033,1
357,100034,1
758,78,5
359,100036,1
360,100037,1
361,100038,1
362,100039,1
363,100040,1
364,100041,1
365,100042,1
366,100043,1
367,100044,1
368,100045,1
369,100046,1
371,100048,1
372,100049,1
373,100050,1
374,100052,1
375,100053,1
376,100054,1
377,100055,1
378,100056,1
379,100057,1
380,100059,1
2205,101080,1
382,100061,1
383,100062,1
384,100063,1
385,100064,1
2222,100934,4
387,100066,1
388,100067,1
389,100068,1
390,100069,1
391,100070,1
392,100071,1
393,100072,1
395,100075,1
396,100076,1
397,100077,1
398,100078,1
399,100079,1
400,100080,1
401,100081,1
402,100082,1
403,100084,1
404,100085,1
405,100086,1
406,100087,1
407,100089,1
408,100090,1
409,100091,1
410,100092,1
411,100093,1
412,100094,1
413,100095,1
414,100096,1
415,100097,1
416,100098,1
417,100099,1
418,100100,1
419,100101,1
420,100102,1
421,100103,1
422,100104,1
423,100105,1
424,100106,1
425,100107,1
426,100108,1
427,100109,1
428,100110,1
429,100111,1
430,100112,1
431,100113,1
432,100114,1
433,100115,1
434,100116,1
435,100117,1
436,100118,1
437,100119,1
438,100120,1
439,100121,1
440,100122,1
441,100123,1
442,100124,1
443,100125,1
444,100126,1
445,100127,1
446,100128,1
447,100129,1
448,100131,1
449,100132,1
450,100133,1
451,100134,1
452,100135,1
453,100136,1
454,100137,1
455,100138,1
456,100139,1
457,100140,1
458,100141,1
459,100142,1
460,100143,1
462,100146,1
463,100147,1
464,100148,1
465,100149,1
466,100150,1
467,100151,1
468,100152,1
469,100153,1
470,100154,1
471,100155,1
472,100156,1
473,100157,1
474,100158,1
475,100159,1
759,100267,1
771,100271,1
775,100275,1
778,290,1
483,100162,1
781,100276,1
486,100163,1
787,100279,1
488,100165,1
489,100166,1
490,100167,1
491,100168,1
790,100282,1
793,100285,1
796,100287,1
800,100290,1
803,100293,1
806,100296,1
811,100299,1
500,100172,1
1769,100863,1
502,100173,1
817,100305,1
504,100174,1
506,100175,1
508,100177,1
509,100178,1
510,100179,1
511,100180,1
513,100181,1
1479,100683,1
517,100169,1
831,100310,1
834,100313,1
837,100316,1
840,100319,1
847,100320,1
525,100170,1
526,100184,1
527,100185,1
528,100164,1
849,100322,1
530,100186,1
531,100183,1
532,100182,1
854,100325,1
547,100187,1
549,100188,1
552,100189,1
554,100190,1
2025,101005,1
587,100191,1
588,100192,1
589,100193,1
593,100194,1
597,100196,1
598,100197,1
608,100199,1
619,100200,1
622,19,2
623,100202,1
624,100203,1
625,100204,1
626,100205,1
629,100206,1
630,100208,1
631,100209,1
2199,101074,1
760,100268,1
769,100269,1
648,13,1
772,100272,1
773,100273,1
776,123,1
779,100047,1
